Lambda,D_rot,score
10000.0,0.0,0.9902
100000.0,0.0,0.9959
100000.0,0.0,0.997
100000.0,0.0,0.997
100000.0,0.0,0.9977
100000.0,0.0,0.9972
100000.0,0.0,0.9966
100000.0,0.0,0.997
100000.0,0.0,0.9968
100000.0,0.0,0.9975
100000.0,0.0,0.9973
100000.0,0.0,0.9973
100000.0,0.0,0.9963
100000.0,0.0,0.9975
100000.0,0.0,0.9973
100000.0,0.0,0.9967
100000.0,0.0,0.9968
100000.0,0.0,0.9973
100000.0,0.0,0.997
100000.0,0.0,0.9978
100000.0,0.0,0.9973
100000.0,0.0,0.9972
100000.0,0.0,0.9962
100000.0,0.0,0.9973
100000.0,0.0,0.9966
100000.0,0.0,0.9965
100000.0,0.0,0.996
100000.0,0.0,0.997
100000.0,0.0,0.9967
100000.0,0.0,0.997
100000.0,0.0,0.9965
100000.0,0.0,0.9972
100000.0,0.0,0.9965
100000.0,0.0,0.9974
100000.0,0.0,0.9969
100000.0,0.0,0.9973
100000.0,0.0,0.9967
100000.0,0.0,0.9968
100000.0,0.0,0.997
100000.0,0.0,0.9969
100000.0,0.0,0.9966
100000.0,0.0,0.9963
100000.0,0.0,0.9971
100000.0,0.0,0.9971
100000.0,0.0,0.9972
100000.0,0.0,0.9966
100000.0,0.0,0.9973
100000.0,0.0,0.9969
100000.0,0.0,0.9963
100000.0,0.0,0.9975
100000.0,0.0,0.9969
100000.0,0.0,0.9969
100000.0,0.0,0.9965
100000.0,0.0,0.997
100000.0,0.0,0.9964
100000.0,0.0,0.997
100000.0,0.0,0.9968
100000.0,0.0,0.9971
100000.0,0.0,0.9973
100000.0,0.0,0.9967
100000.0,0.0,0.9972
100000.0,0.0,0.9967
100000.0,0.0,0.9975
100000.0,0.0,0.9967
100000.0,0.0,0.9972
100000.0,0.0,0.9972
100000.0,0.0,0.9966
100000.0,0.0,0.9974
100000.0,0.0,0.9965
100000.0,0.0,0.9968
100000.0,0.0,0.9969
100000.0,0.0,0.997
100000.0,0.0,0.9973
100000.0,0.0,0.9981
100000.0,0.0,0.9974
100000.0,0.0,0.9968
100000.0,0.0,0.9967
100000.0,0.0,0.9974
100000.0,0.0,0.9969
100000.0,0.0,0.997
100000.0,0.0,0.9967
100000.0,0.0,0.9973
100000.0,0.0,0.9967
100000.0,0.0,0.9971
100000.0,0.0,0.9973
100000.0,0.0,0.997
100000.0,0.0,0.997
100000.0,0.0,0.9967
100000.0,0.0,0.9978
100000.0,0.0,0.9964
100000.0,0.0,0.9966
100000.0,0.0,0.9962
100000.0,0.0,0.9974
100000.0,0.0,0.9964
100000.0,0.0,0.9968
100000.0,0.0,0.9969
100000.0,0.0,0.996
100000.0,0.0,0.9965
100000.0,0.0,0.9969
100000.0,0.0,0.9972
100000.0,0.0,0.9972
1000000.0,0.0,0.9991
1000000.0,0.0,0.9992
1000000.0,0.0,0.9996
1000000.0,0.0,0.999
1000000.0,0.0,0.999
1000000.0,0.0,0.9994
1000000.0,0.0,0.999
1000000.0,0.0,0.9996
1000000.0,0.0,0.9985
1000000.0,0.0,0.9991
1000000.0,0.0,0.9987
1000000.0,0.0,0.9994
1000000.0,0.0,0.9994
1000000.0,0.0,0.9993
1000000.0,0.0,0.999
1000000.0,0.0,0.9991
1000000.0,0.0,0.9995
1000000.0,0.0,0.9988
1000000.0,0.0,0.9992
1000000.0,0.0,0.999
1000000.0,0.0,0.9994
1000000.0,0.0,0.9987
1000000.0,0.0,0.999
1000000.0,0.0,0.9993
1000000.0,0.0,0.9993
1000000.0,0.0,0.9993
1000000.0,0.0,0.9989
1000000.0,0.0,0.9989
1000000.0,0.0,0.9993
1000000.0,0.0,0.9988
1000000.0,0.0,0.9991
1000000.0,0.0,0.999
1000000.0,0.0,0.9988
1000000.0,0.0,0.9986
1000000.0,0.0,0.9993
1000000.0,0.0,0.9985
1000000.0,0.0,0.9993
1000000.0,0.0,0.9993
